Age,Minutes,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,BPM,Availability%,Salary%
23,1009,0.503,6.6,25.5,2.2,1.7,11.2,24.0,-1.2,62.2,8.24
22,1008,0.474,6.6,27.8,1.7,1.7,14.3,15.1,-2.7,51.22,5.32
28,1004,0.485,3.3,12.9,1.8,1.6,8.9,17.7,-4.0,87.8,3.74
27,999,0.641,6.2,20.8,1.0,0.2,13.9,16.7,-0.3,47.56,9.48
27,992,0.665,5.1,4.8,1.0,0.7,7.2,11.1,-3.0,80.49,1.26
21,989,0.517,7.2,15.7,1.1,0.4,10.8,24.9,-4.1,89.02,1.03
22,868,0.552,8.1,24.3,2.7,0.3,15.7,18.2,-1.5,34.15,2.27
24,984,0.504,5.6,6.0,2.3,1.2,10.7,12.7,-3.2,58.54,1.27
28,983,0.736,14.3,8.9,1.2,5.5,8.5,11.0,3.4,76.83,1.29
24,978,0.627,7.1,11.1,2.5,2.7,13.0,12.4,1.2,69.51,0.45
25,700,0.44,12.3,12.1,2.9,4.7,11.1,16.0,-1.7,41.46,1.19
25,960,0.552,9.1,8.4,2.4,2.2,12.5,13.0,-0.5,73.17,1.45
24,957,0.629,17.5,11.7,1.7,7.0,15.1,13.3,2.1,75.61,1.55
20,944,0.544,8.4,8.0,1.0,1.6,11.8,13.6,-3.6,81.71,1.01
35,924,0.597,20.7,19.0,1.0,1.1,10.6,21.9,3.6,67.07,2.17
22,921,0.596,23.1,14.0,1.3,4.3,16.7,19.7,0.0,74.39,1.43
26,914,0.61,16.7,4.8,2.3,7.1,7.7,16.7,3.8,70.73,13.12
25,910,0.492,8.9,19.7,2.3,1.5,12.8,18.8,-1.4,52.44,12.82
32,700,0.62,3.7,11.1,0.7,0.2,9.7,14.9,-2.9,56.1,9.62
21,897,0.561,14.5,15.0,1.5,2.8,12.1,13.5,1.1,84.15,1.23
20,896,0.583,12.1,14.7,1.4,1.5,12.2,17.1,0.3,56.1,1.33
21,882,0.565,6.5,8.1,1.2,1.1,10.1,14.9,-4.9,71.95,1.22
19,880,0.561,11.0,6.0,1.7,1.8,8.2,27.1,0.1,57.32,2.15
